;__label__FIN#positive;"Thị trường tăng ""nóng"", hàng loạt doanh nghiệp đăng ký bán cổ phiếu quỹ, Vinhomes và Sacombank cũng nhập cuộc"
200;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 11 doanh nghiệp
201;__label__FIN#neutral;Xu thế dòng tiền: Thanh khoản giảm mạnh là tốt hay xấu?
202;__label__FIN#neutral;Tiền vào chứng khoán bất ngờ giảm mạnh, vì sao?
203;__label__FIN#positive;Đất Xanh (DXG): Sẽ niêm yết DXS trong tháng 7, năm 2021 sẽ có thêm dòng tiền huy động khoảng 16.000 tỷ đồng
204;__label__FIN#positive;ĐHCĐ Rạng Đông (RAL): Thay đổi giá phát hành xuống còn 93.000 đồng/cp, ước doanh thu 5 tháng đầu năm tăng trưởng 50%
205;__label__FIN#neutral;"Ông Đỗ Ngọc Quỳnh: ""Chủ tịch UBCK nói với tôi, nguyên tắc là khi tải hệ thống đạt 30% công suất thiết kế thì phải nâng cấp ngay"""
206;__label__FIN#positive;Dragon Capital quay trở lại mua thêm 2,7 triệu cổ phiếu DXG
207;__label__FIN#positive;CEO của Vneco đăng ký mua 4 triệu cổ phiếu VNE
208;__label__FIN#negative;Một lãnh đạo của VLXD Bình Dương muốn bán toàn bộ gần 24 triệu cổ phiếu MVC
209;__label__FIN#neutral;MWG, DXG, VPB, VCP, VRC, BWE, ND2, VNE, HDC, ADS, HIG, MVC, VNA: Thông tin giao dịch lượng lớn cổ phiếu
210;__label__FIN#neutral;Hàng loạt cổ phiếu rời sàn chứng khoán trong tháng 7
211;__label__FIN#neutral;Kinh Bắc (KBC): Có 8 nhà đầu tư cá nhân và 16 tổ chức tham gia mua lượng lớn đợt chào bán 1.500 tỷ trái phiếu lãi suất 10,8%/năm
212;__label__FIN#positive;Chứng khoán Bản Việt (VCI) mua lại trước hạn 500 tỷ trái phiếu
213;__label__FIN#neutral;Tập đoàn Anova thống nhất đổi tên
214;__label__FIN#neutral;Chứng khoán Đà Nẵng (DSC) thông qua phương án chào bán riêng lẻ 94 triệu cổ phiếu tăng vốn điều lệ, nhà đầu tư chiến lược liên quan tới Tập đoàn Thành Công
215;__label__FIN#positive;Viettel Global đặt kế hoạch có thể đạt 1.200 tỷ đồng lợi nhuận trước thuế, tương đương năm 2020
216;__label__FIN#positive;Sóng lớn ở cổ phiếu chứng khoán
217;__label__FIN#positive;Phiên 25/6: Khối ngoại tiếp tục mua ròng gần 90 tỷ đồng, tập trung “gom” VHM
218;__label__FIN#positive;"Chuyên gia VinaCapital: Đầu tư cổ phiếu, trái phiếu, cổ phần tư nhân... là cách tuyệt vời để ""rót tiền"" vào Việt Nam ở thời điểm này"
219;__label__FIN#positive;Vingroup tiếp tục thoái gần 13 triệu cổ phần tại Vinatex (VGT), giảm tỷ lệ sở hữu xuống còn 5%
220;__label__FIN#negative;Tăng không ngừng từ đầu năm, chứng khoán Việt Nam đang đối mặt với nhiều rủi ro ngắn hạn
221;__label__FIN#neutral;VIX - ĐHCĐ thông qua phát hành quyền mua 1:1 giá 10.000đ/CP
222;__label__FIN#neutral;Ông chủ dự án 5 sao Six Senses Ninh Vân Bay tham vọng tăng 113% lợi nhuận bất chấp Covid-19, chào bán cổ phiếu giá 20.000 đồng/cp để huy động nguồn lực
223;__label__FIN#positive;ĐHCĐ Taseco Airs: Kỳ vọng hàng không bùng nổ sau thời gian bị “nén”
224;__label__FIN#positive;"MWG: Doanh thu tháng 5 lần đầu ""ăn đứt"" mùa cao điểm Tết, trung bình thu về hơn 379 tỷ đồng mỗi ngày"
225;__label__FIN#positive;"Xuất nhập khẩu Bình Thạnh (GIL) ""ngồi ghế"" cổ đông lớn tại GMC"
226;__label__FIN#positive;Cổ phiếu bật tăng gấp 3 lần kể từ đáy Covid-19, kỳ vọng gì cho Elcom (ELC)?
227;__label__FIN#positive;Đạm Phú Mỹ (DPM) chốt danh sách cổ đông chi khoảng 270 tỷ đồng trả cổ tức
228;__label__FIN#positive;Vn30-Index cán ngưỡng 1.500 điểm, dòng tiền đuối sức trong cuộc đua vượt đỉnh
229;__label__FIN#positive;Vinaconex (VCG) chốt danh sách cổ đông để chia thưởng 36 triệu cổ phiếu quỹ
230;__label__FIN#positive;Malblue – công ty liên quan với Chủ tịch HĐQT Vneco - đăng ký mua 10 triệu cổ phiếu VNE
231;__label__FIN#neutral;HPG, VIB, OPC, SZB, TID, VCP, PHC, VNE, GMC, VNA, MEC: Thông tin giao dịch lượng lớn cổ phiếu
232;__label__FIN#negative;Việt Nam tiếp tục “lỡ hẹn” cơ hội nâng hạng, MSCI đề xuất đưa Pakistan trở lại thị trường cận biên sau 1 năm ở nhóm mới nổi
233;__label__FIN#neutral;"Chủ tịch UBCK: ""Chúng tôi không chỉ nợ một lời xin lỗi mà nhiều lời xin lỗi"""
234;__label__FIN#positive;PVI: Cổ đông ngoại HDI Global SE đã bán ra 14 triệu cổ phần sau khi bị UBCKNN xử phạt vì che đậy tỷ lệ sở hữu thực
235;__label__FIN#positive;Thuỷ sản Cà Mau (CMX) đặt kế hoạch lãi 73 tỷ đồng trong năm 2021, kim ngạch xuất 70 triệu USD
236;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 25/6
237;__label__FIN#negative;Yeah1 (YEG): Tiếp tục bán vốn tại Yeah1 Network, cổ phiếu vẫn dò đáy
238;__label__FIN#positive;"Một doanh nghiệp bia có EPS hơn 21.000 đồng, thị giá thuộc hàng ""đắt đỏ"" nhất thị trường"
239;__label__FIN#positive;Gỗ Trường Thành (TTF): Thị giá 7.220 đồng/cp nhưng phát hành với giá 10.000 đồng/cp, đã có 19 nhà đầu tư tham gia đợt chào bán 595 tỷ đồng
240;__label__FIN#positive;Việt Tiên Sơn địa ốc (AAV) chốt danh sách cổ đông phát hành gần 4,8 triệu cổ phiếu trả cổ tức
241;__label__FIN#negative;Ông Petri Deryng: “Sẽ không thích hợp nếu nói định giá TTCK lúc này đang rẻ, lợi nhuận ngành ngân hàng từ sau năm 2021 có thể ở mức vừa phải hơn”
242;__label__FIN#positive;Thanglong Invest (TIG) chốt danh sách cổ đông phát hành hơn 9 triệu cổ phiếu trả cổ tức
243;__label__FIN#neutral;"Ông Nguyễn Duy Hưng: ""Tôi đã thua độ anh Bình FPT"", nhắn nhủ: ""Chúng ta nợ NĐT một lời xin lỗi chính thống"""
244;__label__FIN#positive;"Nhóm quỹ Dragon Capital vừa ""gom"" thêm 1 triệu cổ phiếu HPG"
245;__label__FIN#positive;VCSC: “Dự thảo nghị định quản lý Khu công nghiệp là động lực thúc đẩy thu hút FDI”
246;__label__FIN#positive;Vietnam Airlines dự kiến tổ chức ĐHCĐ giữa tháng 7: Sẽ thông qua mức giá bán cổ phần tăng vốn thêm 8.000 tỷ
247;__label__FIN#negative;Nghịch lý: giá dầu cao nhất 2 năm, cổ phiếu dầu khí lại bất ngờ đỏ sàn
248;__label__FIN#positive;Phiên 24/6: Khối ngoại tiếp tục mua ròng 175 tỷ đồng, tập trung “gom” SSI và VHM
249;__label__FIN#neutral;"""Kế hoạch giải cứu nghẽn lệnh 100 ngày"" của FPT: Xử lý 3-5 triệu lệnh/ngày, bỏ cơ chế phân bổ lệnh, cán bộ làm việc 36-48 tiếng không về nhà"
250;__label__FIN#negative;Louis Holdings (BII) đổi chủ, cựu Chủ tịch bán ra gần 4 triệu cổ phiếu
251;__label__FIN#neutral;Chuyện chưa kể về nghẽn lệnh Hose: Coi nghẽn lệnh là trường hợp khẩn cấp quốc gia
252;__label__FIN#positive;VnIndex tăng mạnh, thị trường chứng khoán tháng 6 có “gọi tên” những cổ phiếu chưa tăng?
253;__label__FIN#positive;Cơ hội từ chứng chỉ quỹ đầu tư trái phiếu an toàn Amber
254;__label__FIN#positive;Chứng khoán Rồng Việt (VDS) sắp phát hành 5 triệu cổ phiếu trả cổ tức
255;__label__FIN#negative;Một doanh nghiệp dệt may đặt kế hoạch lãi 2021 bằng 0
256;__label__FIN#neutral;Điểm danh những doanh nghiệp chốt quyền nhận cổ tức bằng tiền, bằng cổ phiếu và cổ phiếu thưởng tuần từ 28/6-2/7
257;__label__FIN#positive;Bamboo Capital (BCG): Mirae Asset Daewoo bán ra 5,4 triệu cổ phiếu và không còn là cổ đông lớn, hợp tác chiến lược với Lotte Land
258;__label__FIN#positive;Gelex (GEX): Nhóm liên quan CEO Nguyễn Văn Tuấn muốn mua thêm 100 triệu cổ phiếu trong đợt phát hành giá ưu đãi 12.000 đồng/cp
259;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 8 doanh nghiệp
260;__label__FIN#neutral;Tiêu điểm xử phạt tuần qua: Rất nhiều doanh nghiệp và cá nhân bị UBCKNN phạt
261;__label__FIN#positive;Thị trường “xanh vỏ đỏ lòng”, VN-Index tăng gần 3 điểm với thanh khoản tụt áp
262;__label__FIN#neutral;Phe short phái sinh được một phen nháo nhào, VN30-Index đang nỗ lực lấy lại đỉnh cao cũ
263;__label__FIN#negative;Chứng khoán SSI cùng nhiều lãnh đạo thoái vốn khỏi dược phẩm OPC
264;__label__FIN#positive;[ĐHĐCĐ Vingroup] Tỷ phú Vượng muốn bán hàng trăm nghìn xe VinFast tại Mỹ vào năm 2026
265;__label__FIN#positive;Đầu tư và Phát triển điện Tây Bắc (NED) đẩy mạnh phát triển dự án BĐS khu công nghiệp, ước lãi gần 45 tỷ đồng trong 6 tháng đầu năm 2021
266;__label__FIN#neutral;CTR, VCI, SGB, VRG, OPC, CSI, TNT, DXL, BVG, VTO: Thông tin giao dịch lượng lớn cổ phiếu
267;__label__FIN#positive;HAGL Agrico (HNG) thông qua các điều kiện, chuẩn bị phát hành hơn 741 triệu cổ phiếu cho Thagrico
268;__label__FIN#positive;HAGL (HAG): Cổ phiếu trong xu hướng tăng, Thành viên HĐQT đăng ký bán khớp lệnh 500.000 cổ phần
269;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 24/6
270;__label__FIN#positive;Nhiệt điện Phả Lại (PPC) dự chi hơn 400 tỷ đồng trả tiếp cổ tức đợt 4/2020
271;__label__FIN#positive;Vinaconex vừa huy động 2.200 tỷ trái phiếu để rót vào dự án Cát Bà Amatina
272;__label__FIN#positive;Lãnh đạo Chứng khoán Kiến thiết (CSI) liên tục mua bán cổ phiếu
273;__label__FIN#positive;Tập đoàn BGI (VC7) dự kiến phát hành cổ phiếu tăng vốn điều lệ lên gấp đôi
274;__label__FIN#positive;Xuất khẩu lốp tăng trưởng mạnh, cổ phiếu Cao su Đà Nẵng (DRC) trở lại vùng đỉnh sau 5 năm
275;__label__FIN#positive;Đông Hải Bến Tre (DHC): Vay ngân hàng thêm 1.100 tỷ đồng để bổ sung vốn lưu động, chủ trương mở rộng nhà máy
276;__label__FIN#positive;Thị trường điều chỉnh, khối ngoại trở lại mua ròng gần 150 tỷ đồng trong phiên 23/6
277;__label__FIN#positive;Chứng khoán Bản Việt (VCI): Hoàn tất tăng vốn lên 3.330 tỷ đồng, 166,5 triệu cổ phiếu chia thưởng sẽ được niêm yết trong tháng 7/2021
278;__label__FIN#neutral;TIG: Có 5 cá nhân tham gia đợt phát hành 30 triệu cổ phiếu giá 10.500 đồng/cp, Chủ tịch Nguyễn Phúc Long sẽ mua hơn 7,2 triệu đơn vị
279;__label__FIN#neutral;Bí kíp nhà vô địch MAScham – 2 tháng tranh tài, X2 tài khoản
280;__label__FIN#neutral;Hệ thống giao dịch mới của HoSE dự kiến Go-live từ tháng 7, tình trạng nghẽn lệnh sắp chấm dứt
281;__label__FIN#positive;Becamex IJC (IJC) chi gần 330 tỷ đồng trả cổ tức bằng tiền tỷ lệ 15%
282;__label__FIN#neutral;"Ông Đỗ Hữu Hạ ""sang tay"" gần 15 triệu cổ phiếu HHS cho Tài chính Hoàng Huy (TCH)?"
283;__label__FIN#positive;Novaland phát hành gần 6 triệu cổ phiếu cho HSBC để chuyển đổi trái phiếu với giá chuyển đổi 44.000 đồng/cp
284;__label__FIN#negative;VCB, VPB, CTG nỗ lực chống đỡ thị trường, VnIndex chỉ giảm nhẹ trong khi số mã giảm gấp 3 số mã tăng
285;__label__FIN#positive;Xây dựng Tiền Giang (THG) chốt quyền nhận cổ tức tổng tỷ lệ 20%, cổ phiếu THG đã tăng gấp rưỡi từ đầu năm
286;__label__FIN#positive;NLG duy trì giao dịch vùng đỉnh, người nhà lãnh đạo Nam Long vẫn tiếp tục chốt lãi
287;__label__FIN#neutral;IDC, CC1, NLG, VNG, TGG, OPC, HVH, DLG, LPB, KDC, IMP, HHV, CIA, VRG, PHS, HGM, BNA, CQN, NDP, DRI: Thông tin giao dịch lượng lớn cổ phiếu
288;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 23/6
289;__label__FIN#positive;Vừa lên sàn chứng khoán hơn 2 tháng, Xây dựng SCG chốt quyền chào bán 35 triệu cổ phiếu với giá bằng mệnh giá
290;__label__FIN#positive;"Sữa Quốc tế (IDP): Hậu thâu tóm bởi Blue Point, đề xuất mức cổ tức ""khủng"" lên đến 80% tiền mặt"
291;__label__FIN#positive;KIDO (KDC): Nhóm quỹ VinaCapital bán hơn 10,5 triệu cổ phiếu, thu về 600 tỷ đồng trong 3 ngày
292;__label__FIN#positive;Hoà Phát: Hơn 1 tỷ cổ phiếu HPG đợt chia cổ tức sẽ bắt đầu giao dịch từ ngày 28/6/2021
293;__label__FIN#neutral;ĐHĐCĐ BII: Ông Đỗ Thành Nhân không còn là cổ đông lớn nhưng vẫn điều hành, chuyển trọng tâm 2021 sang mảng bất động sản khu công nghiệp
294;__label__FIN#positive;BOT Hưng Phát bán hết 16,4 triệu cổ phiếu HHV sau thông tin Giao Thông Đèo Cả nộp hồ sơ đăng ký niêm yết trên HoSE
295;__label__FIN#positive;Sacombank sẽ bán 81,5 triệu cổ phiếu quỹ từ 1/7, chủ yếu giao dịch khớp lệnh
296;__label__FIN#neutral;"Hai công ty muốn ""trao tay"" hơn 52% vốn tại Dịch vụ Sân bay Quốc tế Cam Ranh (CIA)"
297;__label__FIN#positive;Sau nhiều nỗ lực, Cơ điện lạnh Nam Thịnh đã bán hết 16,3 triệu cổ phần tại Tổng công ty xây dựng số 1
298;__label__FIN#positive;VPBank bất ngờ lấy ý kiến cổ đông về việc chia cổ tức
299;__label__FIN#positive;Hodeco (HDC) sắp phát hành hơn 3,3 triệu cổ phiếu ESOP với giá chỉ bằng 1/6 thị giá hiện tại
300;__label__FIN#neutral;Ý tưởng đầu tư mới cho 6 tháng cuối năm 2021
301;__label__FIN#positive;Bảo hiểm MIC củng cố sức mạnh giúp cổ phiếu MIG thăng hoa
302;__label__FIN#positive;Cổ phiếu BSR - sức hút từ minh bạch và hiệu quả
303;__label__FIN#positive;VCSC: VN-Index phát tín hiệu quay trở lại xu hướng tăng giá
304;__label__FIN#positive;Một cổ phiếu bất động sản tăng gấp 3,6 lần sau 8 phiên lên sàn
305;__label__FIN#positive;Quỹ đầu tư cơ hội PVI vừa mua 6,6 triệu cổ phiếu, trở thành cổ đông lớn của Dược phẩm OPC
306;__label__FIN#negative;Phiên 22/6: Khối ngoại bán ròng hơn 500 tỷ đồng, tập trung giao dịch thỏa thuận PVI
307;__label__FIN#positive;Cổ đông lớn tiếp tục gom thêm 3,5 triệu cổ phiếu Vinaconex Power (VCP)
308;__label__FIN#positive;Vosco: Quyết liệt tái cấu trúc để tận dụng sóng tăng trưởng cước tàu, cổ phiếu kịch trần 7 phiên không ngơi nghỉ
309;__label__FIN#positive;Công ty mới thành lập chưa đầy 1 tháng chi gần 400 tỷ trở thành cổ đông lớn tại Dược Imexpharm (IMP)
310;__label__FIN#neutral;"CEO SGI Capital chia sẻ bí kíp đầu tư chứng khoán thành công: ""Cần hạn chế trading, chỉ cần thực hiện một nửa những quyết định cảm thấy tự tin nhất"""
311;__label__FIN#positive;Tập đoàn Bitexco đã bán hết 67,5 triệu cổ phần tại Idico, thu về 2.200 tỷ đồng
312;__label__FIN#positive;Dat Xanh Services - Trả cổ tức tăng gấp đôi, mục tiêu lãi bứt phá gần 1.500 tỷ năm 2021
313;__label__FIN#positive;Cổ phiếu tăng gần 19% trong gần 1 tuần, Lãnh đạo Đầu tư Phát triển Gas Đô thị đăng ký mua 4,7 triệu cổ phiếu PCG
314;__label__FIN#neutral;Đây là những chỉ số kinh tế vĩ mô mà nhà đầu tư cần đặc biệt quan tâm
315;__label__FIN#neutral;Mùa dịch Covid, kênh đầu tư nào an toàn hiệu quả hơn gửi tiết kiệm?
316;__label__FIN#negative;ĐHĐCĐ KIDO (KDC): Dịch Covid-19 làm trì hoãn nhiều kế hoạch, dự kiến tung loạt sản phẩm mới từ thương hiệu Vibev, bánh tươi đến chuỗi F&B Chuk Chuk ngay quý 3/2021
317;__label__FIN#neutral;Một môi giới chứng khoán phải chăm sóc 800 - 1.000 tài khoản nhà đầu tư
318;__label__FIN#negative;“Hạ nhiệt” về cuối phiên, VN-Index thất bại trước mốc 1.380 điểm
319;__label__FIN#negative;Đất Xanh Services (DXS): Sẽ tạm giao dịch trên HNX đến khi hệ thống HoSE ổn định
320;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 8 doanh nghiệp
321;__label__FIN#positive;Hoà Bình (HBC): Thị trường tốt nhưng cổ phiếu HBC liên tục giảm, ban lãnh đạo nói gì trước nghi vấn bị thao túng giá?
322;__label__FIN#negative;"Công ty nuôi lợn đặt kế hoạch lãi ""đi lùi""đến hơn 60% trong năm 2021"
323;__label__FIN#positive;"Mirae Asset: Giá thép tăng ""nóng"" tốt trong ngắn hạn nhưng sẽ ảnh hưởng tiêu cực trong dài hạn"
324;__label__FIN#positive;Một quỹ ETF niêm yết tại Mỹ chuẩn bị đầu tư vào thị trường chứng khoán Việt Nam
325;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 22/6
326;__label__FIN#positive;ĐHĐCĐ Hoà Bình (HBC): Sẽ thu về 1.000 tỷ thoái vốn 4 dự án BĐS lớn, cổ đông đặt câu hỏi về đóng góp của CEO 9X Lê Viết Hiếu sau 1 năm chuyển giao thế hệ
327;__label__FIN#positive;Chủ tịch HBC Lê Viết Hải: FLC cam kết sẽ trả 285 tỷ đồng cho đến tháng 4/2022, sẽ tiếp tục hợp tác nếu có cơ hội trong thời gian tới
328;__label__FIN#positive;Doanh nghiệp ngành dệt may TDT thông qua phương án phát hành cổ phiếu tăng vốn điều lệ thêm 53%
329;__label__FIN#negative;Phiên 21/6: Khối ngoại đẩy mạnh bán ròng hơn 1.100 tỷ đồng, tập trung “xả” NVL, HPG
330;__label__FIN#neutral;Yếu tố nào làm nên thành công của VCSC, cổ phiếu chứng khoán thị giá cao nhất thị trường?
331;__label__FIN#positive;Dược phẩm Mediplantex (MED) lên kế hoạch tăng vốn gấp đôi, chào bán với mức giá 25.000 đồng/cp
332;__label__FIN#neutral;Những cổ phiếu nào sẽ lọt rổ VN30 trong kỳ review tháng 7?
333;__label__FIN#positive;IDICO sẽ thu về 520 tỷ với thương vụ thoái vốn Thủy điện Đak Mi
334;__label__FIN#positive;Vincom Retail (VRE) sáp nhập hai công ty con về bất động sản, tổng vốn hơn 6.100 tỷ đồng
335;__label__FIN#negative;VnIndex giảm 5 điểm cuối phiên, hàng loạt cổ phiếu chìm trong sắc đỏ
336;__label__FIN#positive;PNJ đạt 685 tỷ đồng lợi nhuận sau thuế sau 5 tháng, tăng 88,4% so với cùng kỳ 2020
337;__label__FIN#negative;Lãnh đạo Dược phẩm OPC đồng loạt đăng ký thoái toàn bộ cổ phần
338;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 21/6
339;__label__FIN#neutral;Kỳ vọng dòng tiền margin sắp được “cởi trói”, VN-Index hướng tới cột mốc 1.400 điểm?
340;__label__FIN#neutral;Xu thế dòng tiền: VN-Index vượt đỉnh, “con sóng thần” đang tới?
341;__label__FIN#neutral;Bóng đá mùa Euro và những quy tắc sống còn quý giá rút ra trong đầu tư chứng khoán?
342;__label__FIN#neutral;Thua lỗ triền miên, hơn 11 tỷ USD tháo chạy khỏi quỹ đầu tư định lượng lớn nhất thế giới trong 7 tháng
343;__label__FIN#positive;ENEOS Corporation chi khoảng 1.400 tỷ đồng mua xong 25 triệu cổ phiếu PLX của Petrolimex
344;__label__FIN#neutral;VIB, ABB, DQC, FTS, FIR, PLX, FDC, HAX, C47, ELC, HCI, TCO, TTC: Thông tin giao dịch lượng lớn cổ phiếu
345;__label__FIN#positive;Tăng trần liên tiếp, Mía đường Lam Sơn (LSS) đăng ký bán 2,35 triệu cổ phiếu quỹ còn lại
346;__label__FIN#negative;"Ông Lê Chí Phúc: ""Thị trường có thể bước vào nhịp điều chỉnh trong nửa cuối năm 2021, nhà đầu tư nên thận trọng phòng thủ"""
347;__label__FIN#negative;FiinGroup: Lưu ý rủi ro pha loãng khi lượng phát hành tăng vốn đạt kỷ lục hơn 100 nghìn tỷ
348;__label__FIN#negative;Vocarimex (VOC): Không còn hợp nhất chỉ số từ các công ty con, kế hoạch lợi nhuận 2021 giảm đến 76% xuống 57 tỷ đồng
349;__label__FIN#positive;VOF VinaCapital: Tham gia thương vụ IPO Dat Xanh Services, thoái vốn khỏi Imexpharm
350;__label__FIN#positive;Ngày Vn-Index lập đỉnh lịch sử, vốn hoá Vietcombank lại vượt Vingroup đứng đầu TTCK Việt Nam
351;__label__FIN#positive;Thanh Lễ: Giá xăng tăng mạnh, đặt kế hoạch lợi nhuận tăng cao hơn 3 lần lên 104 tỷ đồng
352;__label__FIN#positive;Đầu tư và Phát triển điện Tây Bắc (NED) tạm ứng cổ tức bằng tiền năm 2021 với tỷ lệ 10%, mở rộng lĩnh vực BĐS và Khu công nghiệp
353;__label__FIN#negative;Dệt may Thành Công (TCM): Lợi nhuận tháng 5 sụt giảm, tăng tỷ trọng bán vải
354;__label__FIN#positive;Khoáng sản Bình Dương (KSB) chốt danh sách cổ đông phát hành gần 7 triệu cổ phiếu trả cổ tức
355;__label__FIN#positive;Khối ngoại mua ròng gần 600 tỷ đồng trong ngày ETFs cơ cấu danh mục, tập trung “gom” PDR, HSG, APH
356;__label__FIN#positive;FPT Telecom (FOX) gia nhập câu lạc bộ vốn hóa tỷ đô
357;__label__FIN#neutral;Giải pháp đầu tư hiệu quả cho các nhà đầu tư cá nhân
358;__label__FIN#positive;Masan chốt danh sách cổ đông chi hơn 1.100 tỷ đồng tạm ứng cổ tức đợt 1/2021
359;__label__FIN#positive;Đầu tư HVA muốn tăng vốn lên 2,4 lần hiện tại
360;__label__FIN#positive;Gelex (GEX) lãi gần 900 tỷ đồng sau 6 tháng, có khả năng tăng giá bán thành phẩm nửa cuối năm do nguyên vật liệu và logistics tăng cao
361;__label__FIN#neutral;Điểm danh những doanh nghiệp chốt quyền nhận cổ tức bằng tiền, bằng cổ phiếu và cổ phiếu thưởng tuần từ 21/6-25/6
362;__label__FIN#positive;"21,3% cổ phần Chứng khoán Asean vừa được ""sang tay"""
363;__label__FIN#positive;VnIndex tăng 18 điểm cuối phiên, bộ 3 BVH, GAS, VRE đi ngược thị trường
364;__label__FIN#positive;Vinare (VNR) chi 200 tỷ đồng trả cổ tức tỷ lệ 15%, cổ phiếu VNR tăng 45% từ đầu năm
365;__label__FIN#positive;KIDO (KDC): Nhóm quỹ VinaCapital vừa bán ra 2,6 triệu cổ phần, giảm sở hữu xuống 10,62% vốn
366;__label__FIN#neutral;KDC, PCG, QBS, ND2, IMP, TCO, SHG, TET, TFC, HSA, MAC, BMD, TMW, VPR, RAT: Thông tin giao dịch lượng lớn cổ phiếu
367;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 8 doanh nghiệp
368;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 18/6
369;__label__FIN#positive;Novaland (NVL): Muốn vay vốn thêm 2.600 tỷ đồng, đảm bảo bằng cổ phần thuộc sở hữu Chủ tịch Bùi Thành Nhơn
370;__label__FIN#negative;SSI Research: Lợi nhuận PVD có thể giảm phân nửa vì đối tác nước ngoài phá sản
371;__label__FIN#negative;Thuduc House (TDH): Liên tục bán vốn để giải quyết lùm xùm phải nộp 400 tỷ đồng truy thu thuế, sắp chuyển nhượng thêm 43% vốn tại Fideco
372;__label__FIN#positive;Enn Energy Holdings muốn bán toàn bộ hơn 7 triệu cổ phần tại PVGas City
373;__label__FIN#positive;Một cá nhân vừa chi hơn 200 tỷ đồng mua 7 triệu cổ phần tại Vinaconex Power
374;__label__FIN#positive;Vinaconex đăng ký mua hơn 6 triệu cổ phiếu ND2, muốn nâng tỷ lệ sở hữu tại Nedi 2 lên trên 51%
375;__label__FIN#negative;Khối ngoại tiếp tục bán ròng, tập trung “xả” HPG, CTG trong phiên 17/6
376;__label__FIN#positive;Lãnh đạo Đức Long Gia Lai (DLG) đăng ký mua 10 triệu cổ phiếu
377;__label__FIN#neutral;Traphaco chung tay cộng đồng phòng chống dịch Covid-19
378;__label__FIN#positive;ĐHĐCĐ Tường An (TAC): Năm 2021 sẽ chỉ tập trung sản xuất và sáp nhập vào KIDO khi đủ điều kiện, 6 tháng tăng 22% LNTT lên 105 tỷ đồng
379;__label__FIN#positive;Viet Phat Group (VPG) chốt danh sách cổ đông phát hành gần 4 triệu cổ phiếu trả cổ tức
380;__label__FIN#positive;Tâm sự sinh viên đầu tư chứng khoán: Không dồn hết trứng vào một giỏ, bán cả máy ảnh để lấy vốn đầu tư
381;__label__FIN#positive;ĐHĐCĐ Thuỷ sản Minh Phú (MPC): Nửa đầu năm ước lãi 300 tỷ đồng, khó khăn lớn nhất là lo ngại thiếu hụt container rỗng
382;__label__FIN#positive;"Doanh nghiệp thưởng ""đậm"" bằng ESOP, cổ đông nhỏ lẻ ""nóng mặt"" tại mùa ĐHCĐ 2021"
383;__label__FIN#negative;PV Power (POW): Doanh thu 5 tháng đầu năm giảm nhẹ xuống còn 12.749 tỷ đồng
384;__label__FIN#positive;Bất động sản Phát Đạt (PDR): Rót 50 tỷ thành lập công ty con Phát Đạt Realtor, sở hữu 51% cổ phần
385;__label__FIN#neutral;Tiêu điểm xử phạt tuần qua: Rất nhiều doanh nghiệp và cá nhân bị UBCKNN phạt
386;__label__FIN#positive;Chính thức áp thuế chống bán phá giá và chống trợ cấp đường Thái Lan, nhóm LSS, SBT, QNS, KTS ngược dòng bứt phá, thậm chí kịch trần
387;__label__FIN#positive;Đạm Cà Mau (DCM) dự chi hơn 420 tỷ đồng trả cổ tức, giá cổ phiếu tăng 44% kể từ đầu năm
388;__label__FIN#negative;Cổ đông lớn tại Hải An (HAH) lần lượt bán ra giữa lúc cổ phiếu lên đỉnh
389;__label__FIN#positive;SSI Research: Nghị định mới hợp lý hoá quy trình xin cấp phép mới và mở rộng Khu công nghiệp, KBC, SZC, SIP… vẫn có thể duy trì tỷ suất lợi nhuận cho thuê đất ở mức cao
390;__label__FIN#positive;Năm Bảy Bảy (NBB) dùng 22 triệu cổ phiếu quỹ trị giá gần 500 tỷ đồng chia cho cổ đông
391;__label__FIN#positive;Idico (IDC) muốn chuyển toàn bộ cổ phần tại Thủy điện Đak Mi cho Bitexco
392;__label__FIN#positive;Năm Bảy Bảy chuẩn bị thưởng toàn bộ 22 triệu cổ phiếu quỹ cho cổ đông
393;__label__FIN#positive;“Lặng sóng” trong ngày đáo hạn phái sinh, VN-Index hồi phục lên sát 1.360 điểm sau phiên điều chỉnh sâu
394;__label__FIN#positive;Đất Xanh (DXG): Lên kế  hoạch huy động 300 triệu USD trái phiếu quốc tế
395;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 17/6
396;__label__FIN#neutral;Chứng khoán tăng trưởng cao gấp nhiều lần nền kinh tế thực có thực sự đáng ngại?
